ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,fh_status
Argentina,2.0,8.0,48.8,39.76,0,1,0,0,0,0,-0.420792604806339,free
Australia,1.0,10.0,35.2,29.65,0,0,0,0,0,0,1.97929304224882,free
Austria,1.0,10.0,29.1,26.64,0,0,0,0,0,0,1.90384092809486,free
Belgium,1.0,8.0,33.0,36.2,0,0,0,0,0,0,1.32983978910366,free
Benin,2.0,7.0,38.6,10.84,0,0,0,0,0,1,-0.60802770097789,free
Botswana,2.5,8.0,61.0,11.11,0,0,0,0,0,1,0.947725044959508,free
Brazil,2.0,8.0,55.0,9.43,0,1,0,0,0,0,-0.119536146168395,free
Bulgaria,2.0,9.0,29.2,21.67,0,0,0,0,1,0,-0.0693627001462635,free
Canada,1.0,10.0,32.6,24.94,0,0,0,0,0,0,1.9425386763598,free
Chile,1.0,10.0,52.0,12.66,0,1,0,0,0,0,1.37052415615982,free
Costa Rica,1.0,10.0,48.9,36.84,0,1,0,0,0,0,0.483972844799745,free
Croatia,1.5,9.0,29.0,20.92,0,0,0,0,1,0,0.120586549241863,free
Czech Republic,1.0,8.0,25.8,16.01,0,0,0,0,1,0,0.422967221441479,free
Denmark,1.0,10.0,24.7,37.99,0,0,0,0,0,0,2.37832399823762,free
Dominican Republic,2.0,8.0,48.4,17.14,0,1,0,0,0,0,-0.618924194031764,free
El Salvador,2.5,8.0,46.9,16.67,0,1,0,0,0,0,-0.288100008655349,free
Estonia,1.0,9.0,36.0,20.79,0,0,0,0,0,0,0.975601676905677,free
Finland,1.0,10.0,26.9,41.5,0,0,0,0,0,0,2.33507215266569,free
France,1.0,9.0,32.7,19.57,0,0,0,0,0,0,1.41647265610532,free
Germany,1.0,10.0,28.3,31.13,0,0,0,0,0,0,1.7450199359286,free
Ghana,1.5,8.0,42.8,7.89,0,0,0,0,0,1,-0.0312243821673234,free
Greece,1.5,10.0,34.3,14.67,0,0,0,0,0,0,0.297696620286781,free
Guyana,2.5,6.0,43.2,30.0,0,0,1,0,0,0,-0.58131273572866,free
Hungary,1.0,10.0,30.0,11.14,0,0,0,0,1,0,0.575809064567707,free
India,2.5,9.0,36.8,9.18,0,0,0,0,0,0,-0.336544078203674,free
Indonesia,2.5,8.0,37.6,11.64,0,0,0,1,0,0,-0.704519160316826,free
Ireland,1.0,10.0,34.3,15.49,0,0,0,0,0,0,1.6890746126857,free
Israel,1.5,10.0,39.2,14.17,1,0,0,0,0,0,0.885728613397935,free
Italy,1.5,10.0,36.0,20.17,0,0,0,0,0,0,0.238881472311902,free
Jamaica,2.5,9.0,45.5,13.58,0,0,1,0,0,0,-0.40601304633378,free
Japan,1.5,10.0,24.9,12.33,0,0,0,0,0,0,1.28955340570654,free
"Korea, Rep.",1.5,8.0,31.6,13.71,0,0,0,1,0,0,0.532592110829053,free
Latvia,1.5,8.0,36.3,20.0,0,0,0,0,0,0,0.335019285751922,free
Lithuania,1.0,10.0,35.8,17.73,0,0,0,0,0,0,0.197262021299463,free
Mali,2.5,7.0,39.0,10.2,0,0,0,0,0,1,-0.469028822567703,free
Mexico,2.5,8.0,51.6,22.13,0,1,0,0,0,0,-0.245729212396213,free
Mongolia,2.0,10.0,36.6,4.17,0,0,0,1,0,0,-0.618422636002965,free
Namibia,2.0,6.0,74.3,26.92,0,0,0,0,0,1,0.28401211909007,free
Netherlands,1.0,10.0,30.9,39.11,0,0,0,0,0,0,2.06141369546635,free
New Zealand,1.0,10.0,36.2,33.61,0,0,0,0,0,0,2.27871883291067,free
Norway,1.0,10.0,25.8,36.09,0,0,0,0,0,0,1.9467249373695,free
Panama,1.5,9.0,54.9,16.67,0,1,0,0,0,0,-0.311231456008425,free
Peru,2.5,9.0,50.5,29.17,0,1,0,0,0,0,-0.310562360563652,free
Poland,1.0,10.0,34.9,18.04,0,0,0,0,1,0,0.35084743630862,free
Portugal,1.0,10.0,38.5,28.26,0,0,0,0,0,0,1.03632638663889,free
Romania,2.0,9.0,32.1,9.77,0,0,0,0,1,0,-0.101114462758247,free
Slovak Republic,1.0,10.0,25.8,19.33,0,0,0,0,1,0,0.435218744100823,free
Slovenia,1.0,10.0,31.2,10.0,0,0,0,0,1,0,1.01059983926299,free
South Africa,2.0,9.0,57.8,33.92,0,0,0,0,0,1,0.332959829876555,free
Spain,1.0,10.0,34.7,33.61,0,0,0,0,0,0,1.10179026726658,free
Sweden,1.0,10.0,25.0,46.99,0,0,0,0,0,0,2.14710767811866,free
Switzerland,1.0,10.0,33.7,27.24,0,0,0,0,0,0,2.05866070078905,free
Trinidad and Tobago,2.0,10.0,40.3,33.33,0,0,1,0,0,0,-0.108312323940113,free
Ukraine,2.5,7.0,27.6,8.22,0,0,0,0,0,0,-0.722976015785938,free
United Kingdom,1.0,10.0,36.0,19.61,0,0,0,0,0,0,1.71413684400448,free
United States,1.0,10.0,40.8,17.01,0,0,0,0,0,0,1.33810603325913,free
Uruguay,1.0,10.0,47.1,12.31,0,1,0,0,0,0,1.11251414806231,free
